date,open,high,low,close,tick_volume,spread,real_volume
2006-01-10,1.6341,1.635,1.6320999999999999,1.6334,382,0,0
2006-01-11,1.6336,1.6375,1.6273,1.6279,1333,0,0
2006-01-12,1.6277,1.6294,1.6209,1.6282,1671,0,0
2006-01-13,1.6284,1.6324999999999998,1.6181999999999999,1.6266,1796,0,0
2006-01-16,1.6251,1.6356000000000002,1.6226,1.6354,880,0,0
2006-01-17,1.6356000000000002,1.6364,1.6301,1.6337000000000002,1379,0,0
2006-01-18,1.6338,1.6359,1.6261999999999999,1.6287,1771,0,0
2006-01-19,1.6284999999999998,1.6322,1.6277,1.6294,1017,0,0
2006-01-20,1.6299000000000001,1.6341999999999999,1.6253,1.6274,1233,0,0
2006-01-23,1.6261999999999999,1.6280999999999999,1.619,1.6211,1272,0,0
2006-01-24,1.6209,1.6234,1.6194,1.623,1032,0,0
2006-01-25,1.6232,1.6251,1.6167,1.6234,1483,0,0
2006-01-26,1.6238000000000001,1.6268,1.6194,1.6263999999999998,1463,0,0
2006-01-27,1.6268,1.6277,1.6207,1.6272,1179,0,0
2006-01-30,1.6274,1.6327,1.619,1.6275,484,0,0
2006-01-31,1.6282,1.63,1.6194,1.6223999999999998,689,0,0
2006-02-01,1.6226,1.6303,1.6202,1.6297000000000001,1025,0,0
2006-02-02,1.6299000000000001,1.6354,1.6280999999999999,1.6337000000000002,1341,0,0
2006-02-03,1.6338,1.6371,1.6315,1.6343,1024,0,0
2006-02-06,1.6341999999999999,1.6348,1.6258,1.6291,1053,0,0
2006-02-07,1.6293,1.6331,1.6263999999999998,1.6276000000000002,1351,0,0
2006-02-08,1.6274,1.6337000000000002,1.6263999999999998,1.6322,1207,0,0
2006-02-09,1.6329,1.6329,1.6266,1.6303999999999998,1281,0,0
2006-02-10,1.6301999999999999,1.6317,1.6219000000000001,1.6266,1526,0,0
2006-02-13,1.6261,1.6318000000000001,1.6249,1.6282999999999999,1179,0,0
2006-02-14,1.6280000000000001,1.6313,1.6263999999999998,1.6272,989,0,0
2006-02-15,1.6274,1.6312,1.6249,1.6289,1050,0,0
2006-02-16,1.6287,1.639,1.6287,1.6346,1473,0,0
2006-02-17,1.6343999999999999,1.6383,1.6314,1.6322999999999999,1514,0,0
2006-02-20,1.6331,1.6331,1.6266,1.6284999999999998,855,0,0
2006-02-21,1.6287,1.6326,1.6280000000000001,1.6299000000000001,904,0,0
2006-02-22,1.6309,1.6341,1.6280000000000001,1.6312,1194,0,0
2006-02-23,1.6308,1.6319,1.6226,1.6251,1871,0,0
2006-02-24,1.6255,1.6266,1.6221999999999999,1.6232,1180,0,0
2006-02-27,1.6245,1.627,1.6202999999999999,1.6221,991,0,0
2006-02-28,1.6219999999999999,1.6253,1.6205,1.6221999999999999,915,0,0
2006-03-01,1.6219000000000001,1.6221999999999999,1.6167,1.6174,1370,0,0
2006-03-02,1.6175000000000002,1.6200999999999999,1.6129,1.6134,1020,0,0
2006-03-03,1.6137000000000001,1.6214,1.6125,1.6186,1315,0,0
2006-03-06,1.6188,1.6287,1.6165,1.627,1464,0,0
2006-03-07,1.6274,1.6335,1.6258,1.631,1388,0,0
2006-03-08,1.6312,1.635,1.6274,1.6306,1484,0,0
2006-03-09,1.6308,1.6339000000000001,1.6249,1.6295,1667,0,0
2006-03-10,1.6296,1.6312,1.6257000000000001,1.6275,1221,0,0
2006-03-13,1.6284,1.6284999999999998,1.6238000000000001,1.6245,736,0,0
2006-03-14,1.6242999999999999,1.627,1.6213,1.6226,970,0,0
