date,open,high,low,close,tick_volume,spread,real_volume
2007-02-12,83.47,83.49,83.1,83.19,2997,80,0
2007-02-13,83.18,83.69,82.86,83.6,6312,80,0
2007-02-14,83.61,83.94,83.18,83.33,7800,80,0
2007-02-15,83.34,83.65,82.55,82.71,9662,80,0
2007-02-16,82.72,83.28,82.7,83.25,6534,80,0
2007-02-19,83.53,83.99,83.52,83.8,5136,80,0
2007-02-20,83.79,84.32,83.72,84.18,5796,80,0
2007-02-21,84.19,85.47,83.72,85.37,9042,80,0
2007-02-22,85.36,85.77,85.08,85.54,6555,80,0
2007-02-23,85.56,85.72,85.3,85.46,6015,80,0
2007-02-26,85.72,85.8,85.17,85.68,5756,80,0
2007-02-27,85.67,85.76,82.01,82.33,10517,80,0
2007-02-28,82.32,83.27,82.31,83.19,10935,80,0
2007-03-01,83.2,83.35,80.94,81.65,12275,80,0
2007-03-02,81.64,81.75,80.08,80.35,10426,80,0
2007-03-05,79.43,79.45,77.39,77.8,14778,80,0
2007-03-06,77.81,80.0,77.81,79.93,11803,80,0
2007-03-07,79.92,79.99,78.11,78.36,10436,80,0
2007-03-08,78.37,80.58,78.25,80.54,11252,80,0
2007-03-09,80.55,81.74,80.51,81.68,9124,80,0
2007-03-12,81.99,82.22,80.81,81.91,9368,80,0
2007-03-13,79.44,79.51,79.21,79.48,500,80,0
2007-03-14,79.5,81.52,79.24,81.3,13248,80,0
2007-03-15,81.29,81.87,80.94,81.46,10701,80,0
2007-03-16,81.44,81.84,80.93,81.36,9993,80,0
2007-03-19,81.08,82.76,81.08,82.71,10168,80,0
2007-03-20,82.74,82.93,82.28,82.82,10287,80,0
2007-03-21,82.81,83.55,82.56,83.32,8417,80,0
2007-03-22,83.33,84.29,83.01,83.99,9042,80,0
2007-03-23,84.0,84.17,83.52,83.95,8714,80,0
2007-03-26,83.87,84.75,83.56,84.66,9233,80,0
2007-03-27,84.67,85.1,84.32,84.39,8726,80,0
2007-03-28,84.38,84.62,82.52,82.96,8757,80,0
2007-03-29,82.97,84.49,82.9,84.06,9933,80,0
2007-03-30,84.03,84.56,83.78,84.11,10707,80,0
2007-04-02,84.13,85.26,83.98,85.2,9013,80,0
2007-04-03,85.21,85.72,84.92,85.41,8474,80,0
2007-04-04,85.42,85.68,85.05,85.56,9225,80,0
2007-04-05,85.57,85.98,85.28,85.81,7829,80,0
2007-04-06,85.8,86.21,85.76,85.86,3554,80,0
2007-04-09,86.06,86.37,85.74,85.79,4893,80,0
2007-04-10,85.77,87.04,85.75,86.82,8398,80,0
2007-04-11,86.8,87.09,86.45,86.86,7607,80,0
